Japanese(Kanji),Japanese(kana),Roomaji,English,Notes
押す,おす,,"press, push",
長押し,ながおし,,hold,
クリックする,クリックする,,click,
左クリックする,ひだりクリックする,,left-click,
右クリックする,みぎクリックする,,right-click,
ダブルクリックする,ダブルクリックする,,double-click,
ドラッグする,ドラッグする,,drag,
ポイントする、指す,ポイントする、さす,,point,
ポインタを置く,ポインタをおく,,"hover ~over, rest ~on, move~over",
タッチする,タッチする,,touch,
タップする,,,tap,
ダブルタップする,,,double-tap,
ピンチする,,,pinch,
ピンチインする,,,pinch in,
ピンチアウトする,,,pinch out,
スプレッドする,,,spread,
フリックする,,,flick,
スワイプする,,,swipe,
コピーする,,,copy,
切り取る、カットする,,,cut,
貼付ける、ペーストする,,,paste,
スクロールする,,,scroll,
描く,,,draw,
シェイクする、振る,,,shake,
実行する,,,"execute, perform, run, go",
処理する,,,"process, handle",
試行する,,,try,
再試行する,,,retry,
使用する,,,use,
適用する,,,apply,
続行する,,,continue,
計算する,,,calculate,
強制する,,,force,
表示する,,,"show, display",
見る,,,view,
プレビューする,,,preview,
一覧表示する,,,list,
隠す、非表示する,,,"hide, unshow",
参照する,,,"refer, see",
確認する、チェックする,,,"check, confirm, review",
検証する,,,"verify, validate",
識別する,,,identify,
検索する,,,"find, search, locate",
置換する,,,replace,
検索する,,,explore,
フィルターをかける、振り分ける,,,filter,
選択する,,,"select, choose, pick",
複数選択,,,multiselect,
選択削除する,,,"deselect, unselect",
割り当てる,,,"allocate, assign",
指定する,,,specify,
スケジュールする,,,schedule,
従う,,,follow,
移動する,,,move,
スキップする,,,skip,
次へ,,,(go to) next,
前へ,,,(go back to) previous,
進む,,,(go) forward,
戻る,,,"(go) back, return",
訪問する,,,visit,
アクセスする,,,access,
回転する,,,rotate,
自動回転する,,,autorotate,
同意する,,,"agree, accept",
許可する,,,"allow, accept",
受け入れる,,,accept,
拒否する,,,"decline, deny, reject",
同意しない,,,disagree,
無視する,,,ignore,
ブロックする,,,block,
何もしない,,,do nothing,
応答する,,,"answer, respond",
依頼する,,,"ask, request",
必要とする,,,require,
推薦する,,,recommend,
送信する,,,"send, submit",
メールを送る,,,email,
転送する,,,forward,
返信する,,,reply,
発言する,,,call,
ダイアルする,,,dial,
提供する,,,provide,
共有する,,,share,
公開する,,,publish,
投稿する,,,post,
報告する、レポートする,,,report,
通知する,,,notify,
招待する、招く,,,invite,
参加する,,,join,
チャットする,,,chat,
読み上げる、話す,,,speak,
開始する,,,start,
起動する,,,"launch, boot, startup",
電源を入れる,,,power on,
オンにする,,,on,
再生する,,,play,
確立する,,,establish,
終了する,,,"exit, quit, finish, end, terminate, shut down",
取り消す、キャンセルする,,,cancel,
完了する,,,complete,
オフにする,,,turn off,
電源を切る,,,power off,
停止する,,,stop,
一時停止する,,,pause,
中止する,,,abort,
中断する,,,"interrupt, suspend",
再起動する,,,"restart, reboot",
繰り返す,,,repeat,
再開する,,,resume,
開く,,,open,
閉じる,,,close,
接続する,,,connect,
再接続する,,,reconnect,
接続解除する、切断する,,,disconnect,
有効にする,,,"enable, activate",
無効にする,,,disable,
失敗する,,,fail,
期限が切れる,,,expire,
離れる,,,leave,
変更する,,,"change, modify",
変換する,,,convert,
セットアップする,,,setup,
管理する,,,manage,
制御する,,,control,
整理する,,,organize,
並び換える、ソートする,,,sort,
編集する,,,edit,
リセットする,,,reset,
修正する,,,"correct, modify",
復元する,,,restore,
修復する,,,"fix, repair, recover",
調整する,,,"adjust, tune",
解決する,,,resolve,
元に戻す,,,"undo, revert",
やり直す,,,"redo, startover",
同期する,,,"synchronize, sync",
一致する,,,match,
合わせる、収める,,,fit,
最適化する,,,optimize,
初期化する,,,initialize,
準備する,,,prepare,
グールプ化する,,,group,
グループ化解除する,,,ungroup,
作成する,,,"create, make, compose",
新規作成する,,,new,
生成する,,,generate,
追加する,,,"add, append",
挿入する,,,insert,
含める,,,include,
添付する,,,attach,
結合する,,,"merge, combine",
統合する,,,"combine, join",
登録する,,,"register, sign up",
削除する,,,"delete, remove",
削去する,,,"clear, erase",
破棄する,,,discard,
空にする,,,empty,
除外する,,,exclude,
購読する,,,subscribe,
購読解除,,,unsubscribe,
マウントする,,,mount,
マウント解除する,,,unmount,
保存する,,,save,
名前を付けて保存する、別名で保存する,,,save as,
自動保存する,,,autosave,
記憶する,,,remember,
録音する、記憶する,,,record,
残す,,,"keep, leave",
待機する,,,wait,
制限する,,,"limit, restrict",
保護する,,,protect,
暗号化する,,,encrypt,
ロックする,,,lock,
ロックを解除する,,,unlock,
バックアップする,,,back up,
増やす,,,increase,
拡大する,,,"stretch, larger",
縮小する,,,"reduce, smaller",
上げる,,,raise,
下げる,,,lower,
最大化する,,,maximize,
最小化する,,,minimize,
サイズを変更する,,,resize,
サイズを調整する,,,rescale,
ズームする、拡大縮小する,,,zoom,
ズームインする、拡大する,,,zoom in,
ズームアウト、縮小する,,,zoom out,
解凍する、展開する,,,"extract, decompress, unarchive",
圧縮する,,,"compress, compact",
アーカイブする,,,archive,
展開する,,,expand,
折り畳む、閉じる,,,collapse,
詳細表示する,,,show more,
簡易表示する,,,show less,
消音する、ミュートする,,,mute,
消音削除する、ミュートを削除する,,,unmute,
複製する,,,duplicate,
分割する,,,split,
入力する,,,"type, enter(text), fill, input",
自動入力する,,,autofill,
撮影する,,,"capture, take(picture, photo)",
キャプチャーする、取り込む,,,capture,
スキャンする,,,scan,
出力する,,,output,
印刷する,,,print,
読み取る、読む,,,read,
読み込む,,,"load, import",
再読み込みする,,,reload,
取得する,,,"get, retrieve, fetch",
抽出する,,,extract,
書き込む,,,write,
書き出す,,,export,
上書きする,,,"overwrite, override",
ログインする,,,log in,
ログアウトする,,,log out,
ログオフする,,,log off,
サインインする,,,sign in,
サインアウトする,,,sign out,
アップロードする,,,upload,
ダウンロードする,,,download,
インストールする,,,install,
アンインストールする,,,uninstall,
インポートする,,,import,
エクスポートする,,,export,
